trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
00000000000000000033,000000000000000000dz,000000000000000000dz,000000000000000000br,,000000000000000002op,0,0,3481
00000000000000000037,000000000000000000os,000000000000000000os,000000000000000000b5,,0000000000000000038t,1,1,4205
0000000000000000001b,00000000000000000099,00000000000000000099,0000000000000000009c,,000000000000000003jg,0,0,4588
0000000000000000005x,000000000000000000gv,000000000000000000gv,00000000000000000033,,000000000000000000dz,1,1,503
0000000000000000004s,000000000000000000i2,000000000000000000i2,000000000000000000aa,,000000000000000002ls,0,0,3376
0000000000000000006l,000000000000000000to,000000000000000000to,000000000000000000ez,,000000000000000002t2,1,1,3638
00000000000000000030,00000000000000000036,00000000000000000036,00000000000000000037,,000000000000000003gv,0,0,4495
0000000000000000005b,000000000000000000mk,000000000000000000mk,0000000000000000001b,,0000000000000000026q,1,1,2834
00000000000000000021,000000000000000000tm,000000000000000000tm,0000000000000000005x,,000000000000000002jn,0,0,3299
0000000000000000000c,000000000000000000o4,000000000000000000o4,000000000000000000dp,,000000000000000003h8,1,1,4508
00000000000000000014,000000000000000000lh,000000000000000000lh,0000000000000000008a,,00000000000000000124,0,0,1372
0000000000000000000v,0000000000000000005r,0000000000000000005r,0000000000000000004s,,000000000000000000os,1,1,892
00000000000000000044,0000000000000000001r,0000000000000000001r,000000000000000000c4,,00000000000000000201,0,0,2593
0000000000000000004d,000000000000000000qt,000000000000000000qt,0000000000000000006l,,00000000000000000282,1,1,2882
0000000000000000001a,000000000000000000pm,000000000000000000pm,00000000000000000030,,00000000000000000099,0,0,333
00000000000000000057,0000000000000000004y,0000000000000000004y,000000000000000000a0,,000000000000000002ll,1,1,3369
0000000000000000001p,000000000000000000dr,000000000000000000dr,0000000000000000007r,,0000000000000000026k,0,0,2828
0000000000000000006t,0000000000000000000j,0000000000000000000j,0000000000000000005b,,000000000000000002n4,1,1,3424
00000000000000000040,000000000000000000e4,000000000000000000e4,00000000000000000021,,000000000000000001g4,0,0,1876
0000000000000000006f,00000000000000000073,00000000000000000073,0000000000000000000c,,000000000000000000gv,1,1,607
0000000000000000000g,0000000000000000007q,0000000000000000007q,0000000000000000008o,,0000000000000000015e,0,0,1490
0000000000000000006a,000000000000000000i9,000000000000000000i9,00000000000000000014,,000000000000000002d4,1,1,3064
0000000000000000000t,000000000000000000kx,000000000000000000kx,0000000000000000000v,,000000000000000000i2,0,0,650
0000000000000000004f,0000000000000000006o,0000000000000000006o,0000000000000000008z,,000000000000000000to,1,1,1068
0000000000000000002q,0000000000000000009q,0000000000000000009q,00000000000000000092,,000000000000000002ai,0,0,2970
0000000000000000002d,000000000000000000ho,000000000000000000ho,000000000000000000b8,,00000000000000000117,1,1,1339
0000000000000000005c,000000000000000000k1,000000000000000000k1,000000000000000000bi,,00000000000000000036,0,0,114
0000000000000000003f,000000000000000000li,000000000000000000li,000000000000000000ab,,0000000000000000027n,1,1,2867
0000000000000000004r,000000000000000000fy,000000000000000000fy,000000000000000000fp,,000000000000000002co,0,0,3048
0000000000000000002x,000000000000000000s1,000000000000000000s1,000000000000000000fo,,00000000000000000224,1,1,2668
0000000000000000000j,000000000000000000a1,000000000000000000a1,000000000000000000ey,,000000000000000000mk,0,0,812
0000000000000000002r,00000000000000000014,00000000000000000014,000000000000000000cg,,000000000000000003jq,1,1,4598
0000000000000000002j,0000000000000000002y,0000000000000000002y,000000000000000000f9,,000000000000000000ud,0,0,1093
00000000000000000047,000000000000000000lo,000000000000000000lo,00000000000000000044,,000000000000000003fh,1,1,4445
0000000000000000004n,0000000000000000003l,0000000000000000003l,0000000000000000004d,,000000000000000001ll,0,0,2073
0000000000000000000b,0000000000000000005e,0000000000000000005e,0000000000000000001a,,000000000000000001pr,1,1,2223
0000000000000000006p,000000000000000000nd,000000000000000000nd,00000000000000000057,,000000000000000000tm,0,0,1066
0000000000000000005w,000000000000000000oz,000000000000000000oz,0000000000000000007z,,00000000000000000278,1,1,2852
0000000000000000000y,000000000000000000qp,000000000000000000qp,000000000000000000b3,,000000000000000000o4,0,0,868
00000000000000000074,0000000000000000008a,0000000000000000008a,0000000000000000007w,,000000000000000000wp,1,1,1177
0000000000000000006z,0000000000000000003m,0000000000000000003m,0000000000000000008x,,000000000000000003aq,0,0,4274
0000000000000000004k,000000000000000000gi,000000000000000000gi,0000000000000000007m,,000000000000000001jb,1,1,1991
0000000000000000006c,000000000000000000op,000000000000000000op,0000000000000000001p,,000000000000000002qr,0,0,3555
0000000000000000004z,000000000000000000jr,000000000000000000jr,000000000000000000g1,,0000000000000000018y,1,1,1618
00000000000000000016,000000000000000000l4,000000000000000000l4,000000000000000000g2,,000000000000000000lh,0,0,773
0000000000000000002b,0000000000000000008i,0000000000000000008i,0000000000000000006t,,000000000000000002jb,1,1,3287
0000000000000000003w,000000000000000000dx,000000000000000000dx,0000000000000000008s,,000000000000000002xk,0,0,3800
0000000000000000003o,00000000000000000080,00000000000000000080,00000000000000000040,,0000000000000000034e,1,1,4046
00000000000000000019,0000000000000000005d,0000000000000000005d,000000000000000000dc,,000000000000000003at,0,0,4277
0000000000000000004h,000000000000000000bo,000000000000000000bo,000000000000000000ac,,000000000000000001o8,1,1,2168
00000000000000000046,000000000000000000rq,000000000000000000rq,0000000000000000006f,,0000000000000000016i,0,0,1530
00000000000000000013,0000000000000000002r,0000000000000000002r,0000000000000000000g,,0000000000000000005r,1,1,207
00000000000000000005,000000000000000000aa,000000000000000000aa,000000000000000000bk,,000000000000000001pa,0,0,2206
0000000000000000003m,000000000000000000q3,000000000000000000q3,000000000000000000b6,,0000000000000000001r,1,1,63
0000000000000000002p,000000000000000000ma,000000000000000000ma,000000000000000000a2,,000000000000000002v9,0,0,3717
0000000000000000006j,0000000000000000001f,0000000000000000001f,00000000000000000097,,0000000000000000034j,1,1,4051
0000000000000000001k,000000000000000000pf,000000000000000000pf,000000000000000000eu,,000000000000000001ac,0,0,1668
00000000000000000076,00000000000000000098,00000000000000000098,000000000000000000fc,,000000000000000001qg,1,1,2248
0000000000000000004i,0000000000000000001c,0000000000000000001c,0000000000000000006a,,000000000000000001yl,0,0,2541
0000000000000000004w,0000000000000000006e,0000000000000000006e,000000000000000000bl,,000000000000000002b1,1,1,2989
0000000000000000000i,0000000000000000001y,0000000000000000001y,000000000000000000al,,0000000000000000031i,0,0,3942
0000000000000000001o,000000000000000000q0,000000000000000000q0,00000000000000000079,,000000000000000001v5,1,1,2417
0000000000000000005k,0000000000000000007m,0000000000000000007m,000000000000000000bq,,000000000000000001xl,0,0,2505
0000000000000000004b,000000000000000000db,000000000000000000db,000000000000000000es,,000000000000000002xs,1,1,3808
00000000000000000002,000000000000000000ld,000000000000000000ld,000000000000000000bw,,000000000000000003hi,0,0,4518
0000000000000000001g,000000000000000000dn,000000000000000000dn,0000000000000000000t,,000000000000000002i7,1,1,3247
00000000000000000066,000000000000000000fa,000000000000000000fa,000000000000000000c1,,00000000000000000140,0,0,1440
0000000000000000001x,000000000000000000px,000000000000000000px,0000000000000000004f,,0000000000000000035j,1,1,4087
0000000000000000006e,000000000000000000eh,000000000000000000eh,0000000000000000002q,,000000000000000000qt,0,0,965
0000000000000000002m,000000000000000000jy,000000000000000000jy,000000000000000000eq,,000000000000000001mc,1,1,2100
00000000000000000060,000000000000000000p2,000000000000000000p2,0000000000000000002d,,000000000000000002y0,0,0,3816
00000000000000000042,00000000000000000075,00000000000000000075,0000000000000000005c,,0000000000000000038v,1,1,4207
0000000000000000005t,00000000000000000008,00000000000000000008,000000000000000000ds,,000000000000000003c6,0,0,4326
0000000000000000000o,000000000000000000d4,000000000000000000d4,0000000000000000008k,,000000000000000003l0,1,1,4644
00000000000000000028,000000000000000000tz,000000000000000000tz,0000000000000000009u,,000000000000000002xr,0,0,3807
0000000000000000001q,0000000000000000004c,0000000000000000004c,0000000000000000003f,,000000000000000003fv,1,1,4459
0000000000000000003d,000000000000000000qx,000000000000000000qx,0000000000000000004r,,0000000000000000028j,0,0,2899
