route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00000000000000000033,0000000000000000001b,000000000000000000dz,000000000000000000br,000000000000000000br,39,000000000000000000dz,000000000000000000br,20
00000000000000000037,00000000000000000021,00000000000000000124,000000000000000000b5,000000000000000000b5,23,00000000000000000124,000000000000000000b5,12
0000000000000000001b,0000000000000000000c,000000000000000000os,0000000000000000009c,0000000000000000009c,19,000000000000000000os,0000000000000000009c,10
0000000000000000005x,00000000000000000014,00000000000000000201,00000000000000000033,00000000000000000033,38,00000000000000000201,00000000000000000033,6
0000000000000000004s,0000000000000000000v,00000000000000000099,000000000000000000aa,000000000000000000aa,11,00000000000000000099,000000000000000000aa,5
0000000000000000006l,0000000000000000001a,000000000000000001g4,00000000000000000037,00000000000000000037,26,000000000000000001g4,000000000000000000ez,3
00000000000000000030,0000000000000000001p,000000000000000000gv,0000000000000000001b,0000000000000000001b,9,000000000000000000gv,00000000000000000037,19
0000000000000000005b,0000000000000000000g,0000000000000000015e,0000000000000000005x,0000000000000000005x,5,0000000000000000015e,0000000000000000001b,16
00000000000000000021,0000000000000000000t,000000000000000000i2,000000000000000000dp,0000000000000000008a,37,000000000000000000i2,0000000000000000005x,11
0000000000000000000c,0000000000000000002q,000000000000000000to,0000000000000000008a,0000000000000000004s,4,000000000000000000to,000000000000000000dp,8
00000000000000000014,0000000000000000002d,00000000000000000117,0000000000000000004s,000000000000000000c4,34,00000000000000000117,0000000000000000008a,17
0000000000000000000v,0000000000000000000j,00000000000000000036,000000000000000000c4,0000000000000000006l,2,00000000000000000036,0000000000000000004s,18
00000000000000000044,0000000000000000002r,000000000000000000mk,0000000000000000006l,00000000000000000030,20,000000000000000000mk,000000000000000000c4,13
0000000000000000004d,0000000000000000002j,000000000000000000ud,00000000000000000030,000000000000000000a0,18,000000000000000000ud,0000000000000000006l,15
0000000000000000001a,0000000000000000000b,000000000000000001ll,000000000000000000a0,0000000000000000007r,31,000000000000000001ll,00000000000000000030,4
00000000000000000057,0000000000000000000y,000000000000000001pr,0000000000000000007r,0000000000000000005b,21,000000000000000001pr,000000000000000000a0,9
0000000000000000001p,00000000000000000016,000000000000000000tm,0000000000000000005b,00000000000000000021,22,000000000000000000tm,0000000000000000007r,2
0000000000000000006t,0000000000000000002b,000000000000000000o4,00000000000000000021,0000000000000000000c,15,000000000000000000o4,0000000000000000005b,14
00000000000000000040,00000000000000000019,000000000000000000wp,0000000000000000000c,0000000000000000008o,10,000000000000000000wp,00000000000000000021,1
0000000000000000006f,00000000000000000013,000000000000000001jb,0000000000000000008o,00000000000000000014,33,000000000000000001jb,000000000000000000gx,7
0000000000000000000g,00000000000000000005,0000000000000000018y,00000000000000000014,0000000000000000000v,35,0000000000000000018y,0000000000000000000c,20
0000000000000000006a,0000000000000000002p,000000000000000000lh,0000000000000000000v,0000000000000000008z,25,000000000000000000lh,0000000000000000008o,12
0000000000000000000t,0000000000000000001k,000000000000000001o8,0000000000000000008z,00000000000000000092,29,000000000000000001o8,00000000000000000014,10
0000000000000000004f,0000000000000000000i,0000000000000000016i,00000000000000000092,000000000000000000b8,7,0000000000000000016i,0000000000000000000v,6
0000000000000000002q,0000000000000000001o,0000000000000000005r,000000000000000000b8,000000000000000000bi,16,0000000000000000005r,0000000000000000008z,5
0000000000000000002d,00000000000000000002,000000000000000001pa,000000000000000000bi,000000000000000000ab,17,000000000000000001pa,00000000000000000092,3
0000000000000000005c,0000000000000000001g,0000000000000000001r,000000000000000000ab,000000000000000000cg,24,0000000000000000001r,000000000000000000b8,19
0000000000000000003f,0000000000000000001x,000000000000000001ac,000000000000000000cg,00000000000000000044,12,000000000000000001ac,000000000000000000bi,16
0000000000000000004r,0000000000000000002m,000000000000000001qg,00000000000000000044,0000000000000000004d,30,000000000000000001qg,000000000000000000ab,11
0000000000000000002x,0000000000000000000o,000000000000000001yl,0000000000000000004d,0000000000000000001a,14,000000000000000001yl,000000000000000000fp,8
0000000000000000000j,00000000000000000028,000000000000000001v5,0000000000000000001a,00000000000000000057,3,000000000000000001v5,000000000000000000fo,17
