trip_id,start_time,end_time,headway_secs,exact_times
0000000000000000009c,0000000000000000001d,0000000000000000001d,229,0
00000000000000000033,00000000000000000014,00000000000000000014,220,0
000000000000000000aa,00000000000000000015,00000000000000000015,221,0
00000000000000000037,0000000000000000000o,0000000000000000000o,204,0
0000000000000000001b,0000000000000000001f,0000000000000000001t,231,0
0000000000000000005x,0000000000000000001i,0000000000000000001f,234,0
0000000000000000008a,0000000000000000000k,0000000000000000001i,200,0
0000000000000000004s,00000000000000000013,0000000000000000000k,219,0
0000000000000000006l,00000000000000000019,00000000000000000013,225,0
00000000000000000030,0000000000000000000c,00000000000000000019,192,0
000000000000000000a0,0000000000000000000r,0000000000000000000c,207,0
0000000000000000007r,0000000000000000000a,0000000000000000000r,190,0
0000000000000000005b,00000000000000000006,0000000000000000000a,186,0
00000000000000000021,00000000000000000016,00000000000000000006,222,0
0000000000000000000c,00000000000000000012,00000000000000000016,218,0
0000000000000000008o,00000000000000000018,00000000000000000012,224,0
00000000000000000014,00000000000000000005,0000000000000000001s,185,0
0000000000000000000v,0000000000000000000z,00000000000000000018,215,0
0000000000000000008z,00000000000000000017,00000000000000000005,223,0
00000000000000000092,00000000000000000003,0000000000000000000z,183,0
000000000000000000ab,0000000000000000000l,00000000000000000017,201,0
00000000000000000044,0000000000000000001a,00000000000000000003,226,0
0000000000000000004d,0000000000000000000j,0000000000000000000l,199,0
0000000000000000001a,0000000000000000000w,0000000000000000001a,212,0
00000000000000000057,0000000000000000000m,0000000000000000000j,202,0
0000000000000000007z,0000000000000000001h,0000000000000000000w,233,0
0000000000000000007w,0000000000000000001g,0000000000000000000m,232,0
0000000000000000008x,0000000000000000001p,0000000000000000001h,203,0
0000000000000000007m,0000000000000000000n,0000000000000000001g,196,0
0000000000000000001p,0000000000000000001o,0000000000000000001p,191,0
0000000000000000006t,0000000000000000000g,0000000000000000000n,214,0
0000000000000000008s,0000000000000000000b,0000000000000000001o,216,0
00000000000000000040,0000000000000000000y,0000000000000000000g,230,0
000000000000000000ac,00000000000000000010,0000000000000000000b,227,0
0000000000000000006f,0000000000000000001e,0000000000000000000y,206,0
0000000000000000000g,0000000000000000001b,00000000000000000010,210,0
000000000000000000a2,0000000000000000000q,0000000000000000001e,188,0
00000000000000000097,0000000000000000001q,0000000000000000001b,236,0
0000000000000000006a,0000000000000000000u,0000000000000000000q,197,0
000000000000000000al,00000000000000000008,0000000000000000001q,198,0
00000000000000000079,0000000000000000001k,0000000000000000000u,205,0
0000000000000000000t,0000000000000000000h,00000000000000000008,193,0
0000000000000000004f,0000000000000000000i,0000000000000000001k,211,0
0000000000000000002q,0000000000000000000p,0000000000000000000h,195,0
0000000000000000002d,0000000000000000000d,0000000000000000000i,184,0
0000000000000000005c,0000000000000000000v,0000000000000000000p,208,0
0000000000000000008k,0000000000000000000f,0000000000000000000d,189,0
0000000000000000009u,00000000000000000004,0000000000000000000v,217,0
0000000000000000003f,0000000000000000000s,0000000000000000000f,237,0
0000000000000000004r,0000000000000000001n,00000000000000000004,182,0
0000000000000000002x,00000000000000000009,0000000000000000000s,194,0
0000000000000000009q,0000000000000000001r,0000000000000000001n,235,0
0000000000000000000j,00000000000000000011,00000000000000000009,228,0
0000000000000000002r,0000000000000000001l,0000000000000000001r,213,0
00000000000000000096,0000000000000000001m,00000000000000000011,209,0
0000000000000000002j,00000000000000000002,0000000000000000001l,181,0
0000000000000000009o,0000000000000000000e,0000000000000000001u,187,0
