stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
000000000000000002op,000000000000000000dz,000000000000000002op,000000000000000000dz,3521,3481,,00000000000000000004,11,,,11
0000000000000000041j,00000000000000000124,000000000000000000dz,0000000000000000026q,4245,4205,,00000000000000000005,9,,,9
0000000000000000038t,000000000000000000os,000000000000000002ls,00000000000000000124,4628,4588,,00000000000000000003,5,,,5
000000000000000003jg,00000000000000000099,0000000000000000026q,000000000000000000os,543,503,,00000000000000000001,4,,,4
000000000000000000dz,000000000000000000gv,000000000000000002jn,00000000000000000201,3416,3376,,00000000000000000002,2,,,2
000000000000000002ls,000000000000000000i2,00000000000000000124,00000000000000000282,3678,3638,,00000000000000000004,10,,,10
000000000000000002t2,000000000000000000to,000000000000000000os,00000000000000000099,4535,4495,,00000000000000000005,7,,,7
000000000000000003gv,00000000000000000117,00000000000000000201,0000000000000000026k,2874,2834,,00000000000000000003,12,,,12
000000000000000003vj,00000000000000000036,00000000000000000282,000000000000000001g4,3339,3299,,00000000000000000001,14,,,14
000000000000000004qy,000000000000000000mk,00000000000000000099,000000000000000000gv,4548,4508,,00000000000000000002,3,,,3
0000000000000000026q,000000000000000000ud,000000000000000002ll,0000000000000000015e,1412,1372,,00000000000000000004,8,,,8
000000000000000003ph,000000000000000000tm,0000000000000000026k,000000000000000000i2,932,892,,00000000000000000005,1,,,1
000000000000000002jn,000000000000000000o4,000000000000000002n4,000000000000000000to,2633,2593,,00000000000000000003,13,,,13
000000000000000003h8,000000000000000000wp,000000000000000001g4,000000000000000002ai,2922,2882,,00000000000000000001,0,,,0
000000000000000004gu,000000000000000000lh,000000000000000000gv,00000000000000000117,373,333,,00000000000000000002,6,,,6
00000000000000000124,0000000000000000005r,0000000000000000015e,00000000000000000036,3409,3369,,00000000000000000004,11,,,11
000000000000000000os,0000000000000000001r,000000000000000002d4,0000000000000000027n,2868,2828,,00000000000000000005,9,,,9
00000000000000000201,00000000000000000140,000000000000000000i2,00000000000000000224,3464,3424,,00000000000000000003,5,,,5
00000000000000000282,000000000000000000qt,000000000000000000to,000000000000000000mk,1916,1876,,00000000000000000001,4,,,4
00000000000000000418,000000000000000000pm,000000000000000002ai,000000000000000000ud,647,607,,00000000000000000002,2,,,2
000000000000000004l2,0000000000000000010d,00000000000000000117,000000000000000001ll,1530,1490,,00000000000000000004,10,,,10
00000000000000000099,0000000000000000004y,00000000000000000036,000000000000000001pr,3104,3064,,00000000000000000005,7,,,7
000000000000000002ll,000000000000000000dr,0000000000000000027n,000000000000000000tm,690,650,,00000000000000000003,12,,,12
0000000000000000026k,0000000000000000000j,000000000000000002co,00000000000000000278,1108,1068,,00000000000000000001,14,,,14
0000000000000000049o,000000000000000000v5,00000000000000000224,000000000000000000o4,3010,2970,,00000000000000000002,3,,,3
000000000000000004r8,000000000000000000e4,000000000000000000mk,000000000000000000wp,1379,1339,,00000000000000000004,8,,,8
000000000000000002n4,000000000000000000y8,000000000000000000ud,000000000000000001jb,154,114,,00000000000000000005,1,,,1
000000000000000001g4,00000000000000000073,000000000000000001ll,0000000000000000018y,2907,2867,,00000000000000000003,13,,,13
