agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
0000000000000000001d,0000000000000000001d,0000000000000000001d,0000000000000000001d,0000000000000000001d,0000000000000000001d,0000000000000000001d
00000000000000000014,00000000000000000014,00000000000000000014,00000000000000000014,00000000000000000014,00000000000000000014,00000000000000000014
00000000000000000015,00000000000000000015,00000000000000000015,00000000000000000015,00000000000000000015,00000000000000000015,00000000000000000015
0000000000000000000o,0000000000000000000o,0000000000000000000o,0000000000000000000o,0000000000000000000o,0000000000000000000o,0000000000000000000o
0000000000000000000k,0000000000000000000k,0000000000000000000k,0000000000000000000k,0000000000000000000k,0000000000000000000k,0000000000000000000k
00000000000000000013,00000000000000000013,00000000000000000013,00000000000000000013,00000000000000000013,00000000000000000013,00000000000000000013
00000000000000000019,00000000000000000019,00000000000000000019,00000000000000000019,00000000000000000019,00000000000000000019,00000000000000000019
0000000000000000000c,0000000000000000000c,0000000000000000000c,0000000000000000000c,0000000000000000000c,0000000000000000000c,0000000000000000000c
0000000000000000000r,0000000000000000000r,0000000000000000000r,0000000000000000000r,0000000000000000000r,0000000000000000000r,0000000000000000000r
0000000000000000000a,0000000000000000000a,0000000000000000000a,0000000000000000000a,0000000000000000000a,0000000000000000000a,0000000000000000000a
00000000000000000006,00000000000000000006,00000000000000000006,00000000000000000006,00000000000000000006,00000000000000000006,00000000000000000006
00000000000000000016,00000000000000000016,00000000000000000016,00000000000000000016,00000000000000000016,00000000000000000016,00000000000000000016
00000000000000000012,00000000000000000012,00000000000000000012,00000000000000000012,00000000000000000012,00000000000000000012,00000000000000000012
00000000000000000018,00000000000000000018,00000000000000000018,00000000000000000018,00000000000000000018,00000000000000000018,00000000000000000018
00000000000000000005,00000000000000000005,00000000000000000005,00000000000000000005,00000000000000000005,00000000000000000005,00000000000000000005
0000000000000000000z,0000000000000000000z,0000000000000000000z,0000000000000000000z,0000000000000000000z,0000000000000000000z,0000000000000000000z
00000000000000000017,00000000000000000017,00000000000000000017,00000000000000000017,00000000000000000017,00000000000000000017,00000000000000000017
00000000000000000003,00000000000000000003,00000000000000000003,00000000000000000003,00000000000000000003,00000000000000000003,00000000000000000003
0000000000000000000l,0000000000000000000l,0000000000000000000l,0000000000000000000l,0000000000000000000l,0000000000000000000l,0000000000000000000l
0000000000000000001a,0000000000000000001a,0000000000000000001a,0000000000000000001a,0000000000000000001a,0000000000000000001a,0000000000000000001a
0000000000000000000j,0000000000000000000j,0000000000000000000j,0000000000000000000j,0000000000000000000j,0000000000000000000j,0000000000000000000j
