service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
00000000000000000033,46,46,46,46,46,46,46,2017-08-17,2018-08-17
00000000000000000037,72,72,72,72,72,72,72,2017-08-08,2018-08-08
0000000000000000001b,11,11,11,11,11,11,11,2017-08-09,2018-08-09
0000000000000000005x,39,39,39,39,39,39,39,2017-07-23,2018-07-23
0000000000000000004s,30,30,30,30,30,30,30,2017-07-19,2018-07-19
0000000000000000006l,45,45,45,45,45,45,45,2017-08-07,2018-08-07
00000000000000000030,60,60,60,60,60,60,60,2017-08-13,2018-08-13
0000000000000000005b,15,15,15,15,15,15,15,2017-07-11,2018-07-11
00000000000000000021,28,28,28,28,28,28,28,2017-07-26,2018-07-26
0000000000000000000c,97,97,97,97,97,97,97,2017-07-09,2018-07-09
00000000000000000014,84,84,84,84,84,84,84,2017-07-05,2018-07-05
0000000000000000000v,18,18,18,18,18,18,18,2017-08-10,2018-08-10
00000000000000000044,98,98,98,98,98,98,98,2017-08-06,2018-08-06
0000000000000000004d,90,90,90,90,90,90,90,2017-08-12,2018-08-12
0000000000000000001a,10,10,10,10,10,10,10,2017-07-04,2018-07-04
00000000000000000057,33,33,33,33,33,33,33,2017-08-03,2018-08-03
0000000000000000001p,41,41,41,41,41,41,41,2017-08-11,2018-08-11
0000000000000000006t,82,82,82,82,82,82,82,2017-07-02,2018-07-02
00000000000000000040,44,44,44,44,44,44,44,2017-07-20,2018-07-20
0000000000000000006f,38,38,38,38,38,38,38,2017-08-14,2018-08-14
0000000000000000000g,4,4,4,4,4,4,4,2017-07-18,2018-07-18
0000000000000000006a,96,96,96,96,96,96,96,2017-07-31,2018-07-31
0000000000000000000t,55,55,55,55,55,55,55,2017-07-21,2018-07-21
0000000000000000004f,17,17,17,17,17,17,17,2017-07-22,2018-07-22
0000000000000000002q,59,59,59,59,59,59,59,2017-07-15,2018-07-15
0000000000000000002d,1,1,1,1,1,1,1,2017-07-10,2018-07-10
0000000000000000005c,51,51,51,51,51,51,51,2017-08-02,2018-08-02
0000000000000000003f,68,68,68,68,68,68,68,2017-08-04,2018-08-04
0000000000000000004r,93,93,93,93,93,93,93,2017-08-18,2018-08-18
0000000000000000002x,23,23,23,23,23,23,23,2017-08-15,2018-08-15
0000000000000000000j,79,79,79,79,79,79,79,2017-07-25,2018-07-25
0000000000000000002r,61,61,61,61,61,61,61,2017-07-29,2018-07-29
0000000000000000002j,66,66,66,66,66,66,66,2017-07-07,2018-07-07
00000000000000000047,88,88,88,88,88,88,88,2017-07-16,2018-07-16
0000000000000000004n,91,91,91,91,91,91,91,2017-07-17,2018-07-17
0000000000000000000b,31,31,31,31,31,31,31,2017-07-24,2018-07-24
0000000000000000006p,58,58,58,58,58,58,58,2017-07-12,2018-07-12
0000000000000000005w,94,94,94,94,94,94,94,2017-07-30,2018-07-30
0000000000000000000y,54,54,54,54,54,54,54,2017-07-14,2018-07-14
0000000000000000004k,57,57,57,57,57,57,57,2017-07-03,2018-07-03
0000000000000000006c,50,50,50,50,50,50,50,2017-07-27,2018-07-27
0000000000000000004z,62,62,62,62,62,62,62,2017-07-08,2018-07-08
00000000000000000016,37,37,37,37,37,37,37,2017-08-05,2018-08-05
0000000000000000002b,6,6,6,6,6,6,6,2017-07-01,2018-07-01
0000000000000000003w,21,21,21,21,21,21,21,2017-07-13,2018-07-13
0000000000000000003o,67,67,67,67,67,67,67,2017-08-16,2018-08-16
00000000000000000019,24,24,24,24,24,24,24,2017-08-01,2018-08-01
0000000000000000004h,83,83,83,83,83,83,83,2017-07-28,2018-07-28
00000000000000000046,42,42,42,42,42,42,42,2017-06-30,2018-06-30
00000000000000000013,26,26,26,26,26,26,26,2017-07-06,2018-07-06
00000000000000000005,89,89,89,89,89,89,89,2017-08-17,2018-08-17
0000000000000000003m,2,2,2,2,2,2,2,2017-08-08,2018-08-08
0000000000000000002p,77,77,77,77,77,77,77,2017-08-09,2018-08-09
0000000000000000006j,9,9,9,9,9,9,9,2017-07-23,2018-07-23
0000000000000000001k,36,36,36,36,36,36,36,2017-07-19,2018-07-19
0000000000000000004i,70,70,70,70,70,70,70,2017-08-07,2018-08-07
0000000000000000004w,78,78,78,78,78,78,78,2017-08-13,2018-08-13
0000000000000000000i,35,35,35,35,35,35,35,2017-07-11,2018-07-11
0000000000000000001o,92,92,92,92,92,92,92,2017-07-26,2018-07-26
0000000000000000005k,3,3,3,3,3,3,3,2017-07-09,2018-07-09
0000000000000000004b,47,47,47,47,47,47,47,2017-07-05,2018-07-05
00000000000000000002,76,76,76,76,76,76,76,2017-08-10,2018-08-10
0000000000000000001g,86,86,86,86,86,86,86,2017-08-06,2018-08-06
00000000000000000066,52,52,52,52,52,52,52,2017-08-12,2018-08-12
0000000000000000001x,63,63,63,63,63,63,63,2017-07-04,2018-07-04
0000000000000000006e,40,40,40,40,40,40,40,2017-08-03,2018-08-03
0000000000000000002m,56,56,56,56,56,56,56,2017-08-11,2018-08-11
00000000000000000060,34,34,34,34,34,34,34,2017-07-02,2018-07-02
00000000000000000042,32,32,32,32,32,32,32,2017-07-20,2018-07-20
0000000000000000005t,75,75,75,75,75,75,75,2017-08-14,2018-08-14
0000000000000000000o,13,13,13,13,13,13,13,2017-07-18,2018-07-18
00000000000000000028,43,43,43,43,43,43,43,2017-07-31,2018-07-31
0000000000000000001q,14,14,14,14,14,14,14,2017-07-21,2018-07-21
0000000000000000003d,49,49,49,49,49,49,49,2017-07-22,2018-07-22
0000000000000000003b,12,12,12,12,12,12,12,2017-07-15,2018-07-15
0000000000000000001v,85,85,85,85,85,85,85,2017-07-10,2018-07-10
0000000000000000002h,53,53,53,53,53,53,53,2017-08-02,2018-08-02
0000000000000000002k,5,5,5,5,5,5,5,2017-08-04,2018-08-04
0000000000000000003e,19,19,19,19,19,19,19,2017-08-18,2018-08-18
00000000000000000041,73,73,73,73,73,73,73,2017-08-15,2018-08-15
00000000000000000043,22,22,22,22,22,22,22,2017-07-25,2018-07-25
0000000000000000004t,71,71,71,71,71,71,71,2017-07-29,2018-07-29
0000000000000000000w,7,7,7,7,7,7,7,2017-07-07,2018-07-07
0000000000000000001n,48,48,48,48,48,48,48,2017-07-16,2018-07-16
0000000000000000002n,95,95,95,95,95,95,95,2017-07-17,2018-07-17
0000000000000000001j,16,16,16,16,16,16,16,2017-07-24,2018-07-24
0000000000000000001m,81,81,81,81,81,81,81,2017-07-12,2018-07-12
0000000000000000005g,20,20,20,20,20,20,20,2017-07-30,2018-07-30
0000000000000000001f,69,69,69,69,69,69,69,2017-07-14,2018-07-14
0000000000000000004q,65,65,65,65,65,65,65,2017-07-03,2018-07-03
0000000000000000006u,74,74,74,74,74,74,74,2017-07-27,2018-07-27
0000000000000000003n,64,64,64,64,64,64,64,2017-07-08,2018-07-08
0000000000000000001r,27,27,27,27,27,27,27,2017-08-05,2018-08-05
0000000000000000005u,80,80,80,80,80,80,80,2017-07-01,2018-07-01
00000000000000000012,87,87,87,87,87,87,87,2017-07-13,2018-07-13
0000000000000000005i,8,8,8,8,8,8,8,2017-08-16,2018-08-16
0000000000000000002v,29,29,29,29,29,29,29,2017-08-01,2018-08-01
00000000000000000007,99,99,99,99,99,99,99,2017-07-28,2018-07-28
00000000000000000052,0,0,0,0,0,0,0,2017-06-30,2018-06-30
0000000000000000000m,25,25,25,25,25,25,25,2017-07-06,2018-07-06
00000000000000000069,46,46,46,46,46,46,46,2017-08-17,2018-08-17
0000000000000000001w,72,72,72,72,72,72,72,2017-08-08,2018-08-08
0000000000000000005f,11,11,11,11,11,11,11,2017-08-09,2018-08-09
0000000000000000000p,39,39,39,39,39,39,39,2017-07-23,2018-07-23
0000000000000000004p,30,30,30,30,30,30,30,2017-07-19,2018-07-19
0000000000000000006b,45,45,45,45,45,45,45,2017-08-07,2018-08-07
0000000000000000002c,60,60,60,60,60,60,60,2017-08-13,2018-08-13
0000000000000000004m,15,15,15,15,15,15,15,2017-07-11,2018-07-11
00000000000000000061,28,28,28,28,28,28,28,2017-07-26,2018-07-26
0000000000000000006r,97,97,97,97,97,97,97,2017-07-09,2018-07-09
00000000000000000017,84,84,84,84,84,84,84,2017-07-05,2018-07-05
00000000000000000031,18,18,18,18,18,18,18,2017-08-10,2018-08-10
0000000000000000000r,98,98,98,98,98,98,98,2017-08-06,2018-08-06
0000000000000000002i,90,90,90,90,90,90,90,2017-08-12,2018-08-12
0000000000000000006d,10,10,10,10,10,10,10,2017-07-04,2018-07-04
00000000000000000003,33,33,33,33,33,33,33,2017-08-03,2018-08-03
00000000000000000026,41,41,41,41,41,41,41,2017-08-11,2018-08-11
0000000000000000000a,82,82,82,82,82,82,82,2017-07-02,2018-07-02
0000000000000000005e,44,44,44,44,44,44,44,2017-07-20,2018-07-20
0000000000000000002t,38,38,38,38,38,38,38,2017-08-14,2018-08-14
0000000000000000003x,4,4,4,4,4,4,4,2017-07-18,2018-07-18
00000000000000000034,96,96,96,96,96,96,96,2017-07-31,2018-07-31
00000000000000000011,55,55,55,55,55,55,55,2017-07-21,2018-07-21
0000000000000000001z,17,17,17,17,17,17,17,2017-07-22,2018-07-22
00000000000000000063,59,59,59,59,59,59,59,2017-07-15,2018-07-15
00000000000000000027,1,1,1,1,1,1,1,2017-07-10,2018-07-10
00000000000000000010,51,51,51,51,51,51,51,2017-08-02,2018-08-02
0000000000000000003c,68,68,68,68,68,68,68,2017-08-04,2018-08-04
0000000000000000002l,93,93,93,93,93,93,93,2017-08-18,2018-08-18
0000000000000000005n,23,23,23,23,23,23,23,2017-08-15,2018-08-15
0000000000000000006h,79,79,79,79,79,79,79,2017-07-25,2018-07-25
00000000000000000004,61,61,61,61,61,61,61,2017-07-29,2018-07-29
0000000000000000002w,66,66,66,66,66,66,66,2017-07-07,2018-07-07
0000000000000000003u,88,88,88,88,88,88,88,2017-07-16,2018-07-16
00000000000000000058,91,91,91,91,91,91,91,2017-07-17,2018-07-17
00000000000000000053,31,31,31,31,31,31,31,2017-07-24,2018-07-24
0000000000000000003p,58,58,58,58,58,58,58,2017-07-12,2018-07-12
0000000000000000002z,94,94,94,94,94,94,94,2017-07-30,2018-07-30
0000000000000000001c,54,54,54,54,54,54,54,2017-07-14,2018-07-14
0000000000000000006n,57,57,57,57,57,57,57,2017-07-03,2018-07-03
0000000000000000004g,50,50,50,50,50,50,50,2017-07-27,2018-07-27
0000000000000000003g,62,62,62,62,62,62,62,2017-07-08,2018-07-08
0000000000000000005h,37,37,37,37,37,37,37,2017-08-05,2018-08-05
00000000000000000025,6,6,6,6,6,6,6,2017-07-01,2018-07-01
0000000000000000006q,21,21,21,21,21,21,21,2017-07-13,2018-07-13
0000000000000000006m,67,67,67,67,67,67,67,2017-08-16,2018-08-16
0000000000000000003q,24,24,24,24,24,24,24,2017-08-01,2018-08-01
0000000000000000004y,83,83,83,83,83,83,83,2017-07-28,2018-07-28
00000000000000000054,42,42,42,42,42,42,42,2017-06-30,2018-06-30
0000000000000000003v,26,26,26,26,26,26,26,2017-07-06,2018-07-06
0000000000000000003j,89,89,89,89,89,89,89,2017-08-17,2018-08-17
0000000000000000002f,2,2,2,2,2,2,2,2017-08-08,2018-08-08
0000000000000000006s,77,77,77,77,77,77,77,2017-08-09,2018-08-09
0000000000000000001h,9,9,9,9,9,9,9,2017-07-23,2018-07-23
00000000000000000065,36,36,36,36,36,36,36,2017-07-19,2018-07-19
0000000000000000001s,70,70,70,70,70,70,70,2017-08-07,2018-08-07
0000000000000000003a,78,78,78,78,78,78,78,2017-08-13,2018-08-13
00000000000000000015,35,35,35,35,35,35,35,2017-07-11,2018-07-11
0000000000000000001l,92,92,92,92,92,92,92,2017-07-26,2018-07-26
0000000000000000005a,3,3,3,3,3,3,3,2017-07-09,2018-07-09
0000000000000000000z,47,47,47,47,47,47,47,2017-07-05,2018-07-05
0000000000000000000x,76,76,76,76,76,76,76,2017-08-10,2018-08-10
00000000000000000032,86,86,86,86,86,86,86,2017-08-06,2018-08-06
00000000000000000038,52,52,52,52,52,52,52,2017-08-12,2018-08-12
0000000000000000002u,63,63,63,63,63,63,63,2017-07-04,2018-07-04
0000000000000000003h,40,40,40,40,40,40,40,2017-08-03,2018-08-03
00000000000000000067,56,56,56,56,56,56,56,2017-08-11,2018-08-11
0000000000000000003i,34,34,34,34,34,34,34,2017-07-02,2018-07-02
0000000000000000006x,32,32,32,32,32,32,32,2017-07-20,2018-07-20
00000000000000000024,75,75,75,75,75,75,75,2017-08-14,2018-08-14
0000000000000000005q,13,13,13,13,13,13,13,2017-07-18,2018-07-18
0000000000000000000e,43,43,43,43,43,43,43,2017-07-31,2018-07-31
0000000000000000005z,14,14,14,14,14,14,14,2017-07-21,2018-07-21
00000000000000000018,49,49,49,49,49,49,49,2017-07-22,2018-07-22
0000000000000000003r,12,12,12,12,12,12,12,2017-07-15,2018-07-15
0000000000000000003s,85,85,85,85,85,85,85,2017-07-10,2018-07-10
00000000000000000039,53,53,53,53,53,53,53,2017-08-02,2018-08-02
0000000000000000000f,5,5,5,5,5,5,5,2017-08-04,2018-08-04
0000000000000000001e,19,19,19,19,19,19,19,2017-08-18,2018-08-18
0000000000000000000d,73,73,73,73,73,73,73,2017-08-15,2018-08-15
0000000000000000004o,22,22,22,22,22,22,22,2017-07-25,2018-07-25
00000000000000000055,71,71,71,71,71,71,71,2017-07-29,2018-07-29
00000000000000000045,7,7,7,7,7,7,7,2017-07-07,2018-07-07
0000000000000000002e,48,48,48,48,48,48,48,2017-07-16,2018-07-16
00000000000000000062,95,95,95,95,95,95,95,2017-07-17,2018-07-17
0000000000000000001i,16,16,16,16,16,16,16,2017-07-24,2018-07-24
00000000000000000050,81,81,81,81,81,81,81,2017-07-12,2018-07-12
00000000000000000006,20,20,20,20,20,20,20,2017-07-30,2018-07-30
0000000000000000004c,69,69,69,69,69,69,69,2017-07-14,2018-07-14
0000000000000000000k,65,65,65,65,65,65,65,2017-07-03,2018-07-03
0000000000000000004j,74,74,74,74,74,74,74,2017-07-27,2018-07-27
0000000000000000005m,64,64,64,64,64,64,64,2017-07-08,2018-07-08
0000000000000000005r,27,27,27,27,27,27,27,2017-08-05,2018-08-05
00000000000000000068,80,80,80,80,80,80,80,2017-07-01,2018-07-01
00000000000000000022,87,87,87,87,87,87,87,2017-07-13,2018-07-13
0000000000000000000n,8,8,8,8,8,8,8,2017-08-16,2018-08-16
0000000000000000003y,29,29,29,29,29,29,29,2017-08-01,2018-08-01
0000000000000000003t,99,99,99,99,99,99,99,2017-07-28,2018-07-28
0000000000000000004e,0,0,0,0,0,0,0,2017-06-30,2018-06-30
00000000000000000020,25,25,25,25,25,25,25,2017-07-06,2018-07-06
0000000000000000006o,46,46,46,46,46,46,46,2017-08-17,2018-08-17
00000000000000000056,72,72,72,72,72,72,72,2017-08-08,2018-08-08
00000000000000000008,11,11,11,11,11,11,11,2017-08-09,2018-08-09
0000000000000000005s,39,39,39,39,39,39,39,2017-07-23,2018-07-23
0000000000000000005l,30,30,30,30,30,30,30,2017-07-19,2018-07-19
00000000000000000051,45,45,45,45,45,45,45,2017-08-07,2018-08-07
00000000000000000035,60,60,60,60,60,60,60,2017-08-13,2018-08-13
0000000000000000005v,15,15,15,15,15,15,15,2017-07-11,2018-07-11
0000000000000000005y,28,28,28,28,28,28,28,2017-07-26,2018-07-26
0000000000000000001d,97,97,97,97,97,97,97,2017-07-09,2018-07-09
0000000000000000002o,84,84,84,84,84,84,84,2017-07-05,2018-07-05
0000000000000000006w,18,18,18,18,18,18,18,2017-08-10,2018-08-10
0000000000000000004a,98,98,98,98,98,98,98,2017-08-06,2018-08-06
0000000000000000004x,90,90,90,90,90,90,90,2017-08-12,2018-08-12
0000000000000000005p,10,10,10,10,10,10,10,2017-07-04,2018-07-04
0000000000000000004v,33,33,33,33,33,33,33,2017-08-03,2018-08-03
0000000000000000006v,41,41,41,41,41,41,41,2017-08-11,2018-08-11
0000000000000000004l,82,82,82,82,82,82,82,2017-07-02,2018-07-02
0000000000000000004u,44,44,44,44,44,44,44,2017-07-20,2018-07-20
00000000000000000049,38,38,38,38,38,38,38,2017-08-14,2018-08-14
0000000000000000003z,4,4,4,4,4,4,4,2017-07-18,2018-07-18
0000000000000000002y,96,96,96,96,96,96,96,2017-07-31,2018-07-31
0000000000000000000h,55,55,55,55,55,55,55,2017-07-21,2018-07-21
0000000000000000003k,17,17,17,17,17,17,17,2017-07-22,2018-07-22
00000000000000000059,59,59,59,59,59,59,59,2017-07-15,2018-07-15
0000000000000000006k,1,1,1,1,1,1,1,2017-07-10,2018-07-10
0000000000000000002a,51,51,51,51,51,51,51,2017-08-02,2018-08-02
00000000000000000036,68,68,68,68,68,68,68,2017-08-04,2018-08-04
0000000000000000000l,93,93,93,93,93,93,93,2017-08-18,2018-08-18
0000000000000000001y,23,23,23,23,23,23,23,2017-08-15,2018-08-15
0000000000000000001u,79,79,79,79,79,79,79,2017-07-25,2018-07-25
00000000000000000064,61,61,61,61,61,61,61,2017-07-29,2018-07-29
0000000000000000006g,66,66,66,66,66,66,66,2017-07-07,2018-07-07
0000000000000000005o,88,88,88,88,88,88,88,2017-07-16,2018-07-16
00000000000000000023,91,91,91,91,91,91,91,2017-07-17,2018-07-17
0000000000000000006y,31,31,31,31,31,31,31,2017-07-24,2018-07-24
0000000000000000001t,58,58,58,58,58,58,58,2017-07-12,2018-07-12
00000000000000000048,94,94,94,94,94,94,94,2017-07-30,2018-07-30
0000000000000000000s,54,54,54,54,54,54,54,2017-07-14,2018-07-14
0000000000000000005j,57,57,57,57,57,57,57,2017-07-03,2018-07-03
0000000000000000003l,50,50,50,50,50,50,50,2017-07-27,2018-07-27
00000000000000000029,62,62,62,62,62,62,62,2017-07-08,2018-07-08
0000000000000000002g,37,37,37,37,37,37,37,2017-08-05,2018-08-05
0000000000000000005d,6,6,6,6,6,6,6,2017-07-01,2018-07-01
00000000000000000009,21,21,21,21,21,21,21,2017-07-13,2018-07-13
0000000000000000006i,67,67,67,67,67,67,67,2017-08-16,2018-08-16
0000000000000000000u,24,24,24,24,24,24,24,2017-08-01,2018-08-01
0000000000000000002s,83,83,83,83,83,83,83,2017-07-28,2018-07-28
00000000000000000001,42,42,42,42,42,42,42,2017-06-30,2018-06-30
0000000000000000000q,26,26,26,26,26,26,26,2017-07-06,2018-07-06
