service_id,date,exception_type
00000000000000000033,2018-11-13,46
00000000000000000037,2018-03-05,72
0000000000000000001b,2018-02-11,11
0000000000000000005x,2017-12-08,39
0000000000000000004s,2018-11-01,30
0000000000000000006l,2017-04-27,45
00000000000000000030,2018-01-11,60
0000000000000000005b,2018-06-29,15
00000000000000000021,2017-05-01,28
0000000000000000000c,2017-02-22,97
00000000000000000014,2017-08-07,84
0000000000000000000v,2018-05-14,18
00000000000000000044,2017-10-31,98
0000000000000000004d,2018-11-22,90
0000000000000000001a,2018-10-25,10
00000000000000000057,2017-06-27,33
0000000000000000001p,2018-03-18,41
0000000000000000006t,2017-08-31,82
00000000000000000040,2017-04-24,44
0000000000000000006f,2018-01-01,38
0000000000000000000g,2017-10-12,4
0000000000000000006a,2017-07-16,96
0000000000000000000t,2017-03-20,55
0000000000000000004f,2018-09-07,17
0000000000000000002q,2018-12-06,59
0000000000000000002d,2017-01-18,1
0000000000000000005c,2017-11-14,51
0000000000000000003f,2017-02-15,68
0000000000000000004r,2017-02-06,93
0000000000000000002x,2017-11-25,23
0000000000000000000j,2017-11-28,79
0000000000000000002r,2018-02-14,61
0000000000000000002j,2018-02-24,66
00000000000000000047,2018-11-11,88
0000000000000000004n,2018-01-12,91
0000000000000000000b,2018-07-25,31
0000000000000000006p,2018-07-24,58
0000000000000000005w,2018-06-28,94
0000000000000000000y,2018-03-30,54
0000000000000000004k,2018-07-09,57
0000000000000000006c,2017-06-03,50
0000000000000000004z,2017-06-12,62
00000000000000000016,2017-02-21,37
0000000000000000002b,2017-07-12,6
0000000000000000003w,2017-10-20,21
0000000000000000003o,2018-02-09,67
00000000000000000019,2017-10-17,24
0000000000000000004h,2017-11-23,83
00000000000000000046,2017-10-07,42
00000000000000000013,2017-03-08,26
00000000000000000005,2018-08-06,89
0000000000000000003m,2018-08-07,2
0000000000000000002p,2017-09-08,77
0000000000000000006j,2017-11-18,9
0000000000000000001k,2017-05-30,36
0000000000000000004i,2018-05-01,70
0000000000000000004w,2018-01-13,78
0000000000000000000i,2018-08-20,35
0000000000000000001o,2017-08-25,92
0000000000000000005k,2017-01-22,3
0000000000000000004b,2018-02-26,47
00000000000000000002,2018-02-12,76
0000000000000000001g,2018-01-03,86
00000000000000000066,2017-12-03,52
0000000000000000001x,2018-06-24,63
0000000000000000006e,2018-07-12,40
0000000000000000002m,2017-08-20,56
00000000000000000060,2018-02-27,34
00000000000000000042,2018-01-22,32
0000000000000000005t,2017-09-24,75
0000000000000000000o,2018-03-04,13
00000000000000000028,2018-06-22,43
0000000000000000001q,2018-03-10,14
0000000000000000003d,2017-02-04,49
0000000000000000003b,2018-03-15,12
0000000000000000001v,2017-06-14,85
0000000000000000002h,2017-04-14,53
0000000000000000002k,2018-06-20,5
0000000000000000003e,2018-10-31,19
00000000000000000041,2017-04-01,73
00000000000000000043,2017-07-17,22
0000000000000000004t,2018-10-08,71
0000000000000000000w,2018-05-17,7
0000000000000000001n,2017-11-10,48
0000000000000000002n,2017-12-26,95
0000000000000000001j,2017-05-09,16
0000000000000000001m,2017-06-26,81
0000000000000000005g,2018-02-20,20
0000000000000000001f,2018-07-30,69
0000000000000000004q,2018-12-01,65
0000000000000000006u,2018-06-26,74
0000000000000000003n,2017-04-21,64
0000000000000000001r,2017-12-22,27
0000000000000000005u,2017-01-25,80
00000000000000000012,2018-05-15,87
0000000000000000005i,2017-04-15,8
0000000000000000002v,2018-07-16,29
00000000000000000007,2017-12-02,99
00000000000000000052,2018-05-29,0
0000000000000000000m,2017-04-07,25
00000000000000000069,2017-12-20,46
0000000000000000001w,2017-06-06,72
0000000000000000005f,2017-06-22,11
0000000000000000000p,2017-11-08,39
0000000000000000004p,2017-01-17,30
0000000000000000006b,2017-10-19,45
0000000000000000002c,2018-01-14,60
0000000000000000004m,2018-09-15,15
00000000000000000061,2018-01-16,28
0000000000000000006r,2018-11-06,97
00000000000000000017,2017-09-04,84
00000000000000000031,2017-08-06,18
0000000000000000000r,2018-04-18,98
0000000000000000002i,2017-02-09,90
0000000000000000006d,2017-09-19,10
00000000000000000003,2018-08-31,33
00000000000000000026,2018-06-07,41
0000000000000000000a,2017-11-27,82
0000000000000000005e,2018-01-19,44
0000000000000000002t,2017-09-14,38
0000000000000000003x,2018-04-23,4
00000000000000000034,2017-06-19,96
00000000000000000011,2017-08-22,55
0000000000000000001z,2018-08-18,17
00000000000000000063,2017-07-04,59
00000000000000000027,2018-09-16,1
00000000000000000010,2017-02-17,51
0000000000000000003c,2017-03-30,68
0000000000000000002l,2017-05-26,93
0000000000000000005n,2018-09-11,23
0000000000000000006h,2018-12-05,79
00000000000000000004,2018-10-13,61
0000000000000000002w,2018-09-24,66
0000000000000000003u,2017-05-18,88
00000000000000000058,2018-02-15,91
00000000000000000053,2018-03-22,31
0000000000000000003p,2017-12-13,58
0000000000000000002z,2018-04-15,94
0000000000000000001c,2018-06-16,54
0000000000000000006n,2018-07-19,57
0000000000000000004g,2018-02-18,50
0000000000000000003g,2018-06-08,62
0000000000000000005h,2017-12-23,37
00000000000000000025,2017-02-20,6
0000000000000000006q,2017-06-16,21
0000000000000000006m,2017-06-05,67
0000000000000000003q,2018-05-21,24
